UNDEF;Undefined
M62.09;Muskeldiastase: Nicht näher bezeichnete Lokalisation
M62.1;Sonstiger Muskelriss (nichttraumatisch)
M62.10;Sonstiger Muskelriss (nichttraumatisch): Mehrere Lokalisationen
M62.11;Sonstiger Muskelriss (nichttraumatisch): Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.12;Sonstiger Muskelriss (nichttraumatisch): Oberarm [Humerus, Ellenbogengelenk]
M62.13;Sonstiger Muskelriss (nichttraumatisch): Unterarm [Radius, Ulna, Handgelenk]
M62.14;Sonstiger Muskelriss (nichttraumatisch): Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.15;Sonstiger Muskelriss (nichttraumatisch): Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.16;Sonstiger Muskelriss (nichttraumatisch): Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.17;Sonstiger Muskelriss (nichttraumatisch): Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.18;Sonstiger Muskelriss (nichttraumatisch): Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M62.19;Sonstiger Muskelriss (nichttraumatisch): Nicht näher bezeichnete Lokalisation
M62.2;Ischämischer Muskelinfarkt (nichttraumatisch)
M62.20;Ischämischer Muskelinfarkt (nichttraumatisch): Mehrere Lokalisationen
M62.21;Ischämischer Muskelinfarkt (nichttraumatisch): Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.22;Ischämischer Muskelinfarkt (nichttraumatisch): Oberarm [Humerus, Ellenbogengelenk]
M62.23;Ischämischer Muskelinfarkt (nichttraumatisch): Unterarm [Radius, Ulna, Handgelenk]
M62.24;Ischämischer Muskelinfarkt (nichttraumatisch): Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.25;Ischämischer Muskelinfarkt (nichttraumatisch): Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.26;Ischämischer Muskelinfarkt (nichttraumatisch): Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.27;Ischämischer Muskelinfarkt (nichttraumatisch): Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.28;Ischämischer Muskelinfarkt (nichttraumatisch): Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M62.29;Ischämischer Muskelinfarkt (nichttraumatisch): Nicht näher bezeichnete Lokalisation
M62.3;Immobilitätssyndrom (paraplegisch)
M62.30;Immobilitätssyndrom (paraplegisch): Mehrere Lokalisationen
M62.31;Immobilitätssyndrom (paraplegisch): Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.32;Immobilitätssyndrom (paraplegisch): Oberarm [Humerus, Ellenbogengelenk]
M62.33;Immobilitätssyndrom (paraplegisch): Unterarm [Radius, Ulna, Handgelenk]
M62.34;Immobilitätssyndrom (paraplegisch): Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.35;Immobilitätssyndrom (paraplegisch): Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.36;Immobilitätssyndrom (paraplegisch): Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.37;Immobilitätssyndrom (paraplegisch): Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.38;Immobilitätssyndrom (paraplegisch): Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M62.39;Immobilitätssyndrom (paraplegisch): Nicht näher bezeichnete Lokalisation
M62.4;Muskelkontraktur
M62.40;Muskelkontraktur: Mehrere Lokalisationen
M62.41;Muskelkontraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.42;Muskelkontraktur: Oberarm [Humerus, Ellenbogengelenk]
M62.43;Muskelkontraktur: Unterarm [Radius, Ulna, Handgelenk]
M62.44;Muskelkontraktur: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.45;Muskelkontraktur: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.46;Muskelkontraktur: Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.47;Muskelkontraktur: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.48;Muskelkontraktur: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M62.49;Muskelkontraktur: Nicht näher bezeichnete Lokalisation
M62.5;Muskelschwund und -atrophie, anderenorts nicht klassifiziert
M62.50;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Mehrere Lokalisationen
M62.51;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.52;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Oberarm [Humerus, Ellenbogengelenk]
M62.53;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Unterarm [Radius, Ulna, Handgelenk]
M62.54;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.55;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.56;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.57;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.58;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M62.59;Muskelschwund und -atrophie, anderenorts nicht klassifiziert: Nicht näher bezeichnete Lokalisation
M62.6;Muskelzerrung
M62.60;Muskelzerrung: Mehrere Lokalisationen
M62.61;Muskelzerrung: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.62;Muskelzerrung: Oberarm [Humerus, Ellenbogengelenk]
M62.63;Muskelzerrung: Unterarm [Radius, Ulna, Handgelenk]
M62.64;Muskelzerrung: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.65;Muskelzerrung: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.66;Muskelzerrung: Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.67;Muskelzerrung: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.68;Muskelzerrung: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M62.69;Muskelzerrung: Nicht näher bezeichnete Lokalisation
M62.8;Sonstige näher bezeichnete Muskelkrankheiten
M62.80;Sonstige näher bezeichnete Muskelkrankheiten: Mehrere Lokalisationen
M62.81;Sonstige näher bezeichnete Muskelkrankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.82;Sonstige näher bezeichnete Muskelkrankheiten: Oberarm [Humerus, Ellenbogengelenk]
M62.83;Sonstige näher bezeichnete Muskelkrankheiten: Unterarm [Radius, Ulna, Handgelenk]
M62.84;Sonstige näher bezeichnete Muskelkrankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.85;Sonstige näher bezeichnete Muskelkrankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.86;Sonstige näher bezeichnete Muskelkrankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.87;Sonstige näher bezeichnete Muskelkrankheiten: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.88;Sonstige näher bezeichnete Muskelkrankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M62.89;Sonstige näher bezeichnete Muskelkrankheiten: Nicht näher bezeichnete Lokalisation
M62.9;Muskelkrankheit, nicht näher bezeichnet
M62.90;Muskelkrankheit, nicht näher bezeichnet: Mehrere Lokalisationen
M62.91;Muskelkrankheit, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.92;Muskelkrankheit, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]
M62.93;Muskelkrankheit, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]
M62.94;Muskelkrankheit, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.95;Muskelkrankheit, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.96;Muskelkrankheit, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.97;Muskelkrankheit, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.98;Muskelkrankheit, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M62.99;Muskelkrankheit, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation
M63;Muskelkrankheiten bei anderenorts klassifizierten Krankheiten
M63.0;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten
M63.00;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Mehrere Lokalisationen
M63.01;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M63.02;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Oberarm [Humerus, Ellenbogengelenk]
M63.03;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Unterarm [Radius, Ulna, Handgelenk]
M63.04;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M63.05;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M63.06;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M63.07;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M63.08;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M63.09;Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Nicht näher bezeichnete Lokalisation
M63.1;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen
M63.10;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Mehrere Lokalisationen
M63.11;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M63.12;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Oberarm [Humerus, Ellenbogengelenk]
M63.13;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Unterarm [Radius, Ulna, Handgelenk]
M63.14;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M63.15;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M63.16;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Unterschenkel [Fibula, Tibia, Kniegelenk]
M63.17;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M63.18;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M63.19;Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen: Nicht näher bezeichnete Lokalisation
M63.2;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten
M63.20;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Mehrere Lokalisationen
M63.21;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M63.22;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Oberarm [Humerus, Ellenbogengelenk]
M63.23;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Unterarm [Radius, Ulna, Handgelenk]
M63.24;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M63.25;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M63.26;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M63.27;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M63.28;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M63.29;Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Nicht näher bezeichnete Lokalisation
M63.3;Myositis bei Sarkoidose
M63.30;Myositis bei Sarkoidose: Mehrere Lokalisationen
M63.31;Myositis bei Sarkoidose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M63.32;Myositis bei Sarkoidose: Oberarm [Humerus, Ellenbogengelenk]
M63.33;Myositis bei Sarkoidose: Unterarm [Radius, Ulna, Handgelenk]
M63.34;Myositis bei Sarkoidose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M63.35;Myositis bei Sarkoidose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M63.36;Myositis bei Sarkoidose: Unterschenkel [Fibula, Tibia, Kniegelenk]
M63.37;Myositis bei Sarkoidose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M63.38;Myositis bei Sarkoidose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M63.39;Myositis bei Sarkoidose: Nicht näher bezeichnete Lokalisation
M63.8;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten
M63.80;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Mehrere Lokalisationen
M63.81;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M63.82;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Oberarm [Humerus, Ellenbogengelenk]
M63.83;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Unterarm [Radius, Ulna, Handgelenk]
M63.84;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M63.85;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M63.86;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M63.87;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M63.88;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M63.89;Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten: Nicht näher bezeichnete Lokalisation
M65;Synovitis und Tenosynovitis
M65.0;Sehnenscheidenabszess
M65.00;Sehnenscheidenabszess: Mehrere Lokalisationen
M65.01;Sehnenscheidenabszess: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M65.02;Sehnenscheidenabszess: Oberarm [Humerus, Ellenbogengelenk]
M65.03;Sehnenscheidenabszess: Unterarm [Radius, Ulna, Handgelenk]
M65.04;Sehnenscheidenabszess: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M65.05;Sehnenscheidenabszess: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M65.06;Sehnenscheidenabszess: Unterschenkel [Fibula, Tibia, Kniegelenk]
M65.07;Sehnenscheidenabszess: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M65.08;Sehnenscheidenabszess: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M65.09;Sehnenscheidenabszess: Nicht näher bezeichnete Lokalisation
M65.1;Sonstige infektiöse (Teno-) Synovitis
M65.10;Sonstige infektiöse (Teno-) Synovitis: Mehrere Lokalisationen
M65.11;Sonstige infektiöse (Teno-) Synovitis: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M65.12;Sonstige infektiöse (Teno-) Synovitis: Oberarm [Humerus, Ellenbogengelenk]
M65.13;Sonstige infektiöse (Teno-) Synovitis: Unterarm [Radius, Ulna, Handgelenk]
M65.14;Sonstige infektiöse (Teno-) Synovitis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M65.15;Sonstige infektiöse (Teno-) Synovitis: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M65.16;Sonstige infektiöse (Teno-) Synovitis: Unterschenkel [Fibula, Tibia, Kniegelenk]
M65.17;Sonstige infektiöse (Teno-) Synovitis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M65.18;Sonstige infektiöse (Teno-) Synovitis: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M65.19;Sonstige infektiöse (Teno-) Synovitis: Nicht näher bezeichnete Lokalisation
M65.2;Tendinitis calcarea
M65.20;Tendinitis calcarea: Mehrere Lokalisationen
M65.22;Tendinitis calcarea: Oberarm [Humerus, Ellenbogengelenk]
M65.23;Tendinitis calcarea: Unterarm [Radius, Ulna, Handgelenk]
M65.24;Tendinitis calcarea: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M65.25;Tendinitis calcarea: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M65.26;Tendinitis calcarea: Unterschenkel [Fibula, Tibia, Kniegelenk]
M65.27;Tendinitis calcarea: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M65.28;Tendinitis calcarea: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M65.29;Tendinitis calcarea: Nicht näher bezeichnete Lokalisation
M65.3;Schnellender Finger
M65.4;Tendovaginitis stenosans [de Quervain]
M65.8;Sonstige Synovitis und Tenosynovitis
M65.80;Sonstige Synovitis und Tenosynovitis: Mehrere Lokalisationen
M65.81;Sonstige Synovitis und Tenosynovitis: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M65.82;Sonstige Synovitis und Tenosynovitis: Oberarm [Humerus, Ellenbogengelenk]
M65.83;Sonstige Synovitis und Tenosynovitis: Unterarm [Radius, Ulna, Handgelenk]
M65.84;Sonstige Synovitis und Tenosynovitis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M65.85;Sonstige Synovitis und Tenosynovitis: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M65.86;Sonstige Synovitis und Tenosynovitis: Unterschenkel [Fibula, Tibia, Kniegelenk]
